z_angstrom,cp2k_v_hartree_raw_hartree,conventional_electrostatic_potential_hartree,conventional_electrostatic_potential_ev
0.0000000000,5.985800000000e-02,-5.985800000000e-02,-1.628819157912e+00
0.1571576940,6.555100000000e-02,-6.555100000000e-02,-1.783733579811e+00
0.3143153880,8.338600000000e-02,-8.338600000000e-02,-2.269048653508e+00
0.4714730819,1.159400000000e-01,-1.159400000000e-01,-3.154888121360e+00
0.6286307759,1.660300000000e-01,-1.660300000000e-01,-4.517906458421e+00
0.7857884699,2.349000000000e-01,-2.349000000000e-01,-6.391954629183e+00
0.9429461639,3.189600000000e-01,-3.189600000000e-01,-8.679343757020e+00
1.1001038579,4.068700000000e-01,-4.068700000000e-01,-1.107149672191e+01
1.2572615518,4.807400000000e-01,-4.807400000000e-01,-1.308160182390e+01
1.4144192458,5.243200000000e-01,-5.243200000000e-01,-1.426747403650e+01
1.5715769398,5.342800000000e-01,-5.342800000000e-01,-1.453849944351e+01
1.7287346338,5.243150760000e-01,-5.243150760000e-01,-1.426734004763e+01
1.8858923278,5.163100000000e-01,-5.163100000000e-01,-1.404951083267e+01
2.0430500217,5.228700000000e-01,-5.228700000000e-01,-1.422801752644e+01
2.2002077157,5.309600000000e-01,-5.309600000000e-01,-1.444815764117e+01
2.3573654097,5.083343800000e-01,-5.083343800000e-01,-1.383248315629e+01
2.5145231037,4.389800000000e-01,-4.389800000000e-01,-1.194525433426e+01
2.6716807977,3.411200000000e-01,-3.411200000000e-01,-9.282348076232e+00
2.8288384916,2.458674040000e-01,-2.458674040000e-01,-6.690392895542e+00
2.9859961856,1.694800000000e-01,-1.694800000000e-01,-4.611785740970e+00
3.1431538796,1.137095160000e-01,-1.137095160000e-01,-3.094193559720e+00
3.3003115736,7.512830000000e-02,-7.512830000000e-02,-2.044345189304e+00
3.4574692676,4.999915280000e-02,-4.999915280000e-02,-1.360546258813e+00
3.6146269615,3.596608480000e-02,-3.596608480000e-02,-9.786870252488e-01
3.7717846555,3.224284600000e-02,-3.224284600000e-02,-8.773725361759e-01
3.9289423495,3.937388280000e-02,-3.937388280000e-02,-1.071417932875e+00
4.0861000435,5.900425520000e-02,-5.900425520000e-02,-1.605587578404e+00
4.2432577375,9.353751920000e-02,-9.353751920000e-02,-2.545285563443e+00
4.4004154314,1.451807640000e-01,-1.451807640000e-01,-3.950569844692e+00
4.5575731254,2.137259120000e-01,-2.137259120000e-01,-5.815778342208e+00
4.7147308194,2.931040440000e-01,-2.931040440000e-01,-7.975767351545e+00
4.8718885134,3.688064520000e-01,-3.688064520000e-01,-1.003573481538e+01
5.0290462074,4.202248680000e-01,-4.202248680000e-01,-1.143490119332e+01
5.1862039013,4.298122880000e-01,-4.298122880000e-01,-1.169578818204e+01
5.3433615953,3.937343240000e-01,-3.937343240000e-01,-1.071405676867e+01
5.5005192893,3.245027240000e-01,-3.245027240000e-01,-8.830168960639e+00
5.6576769833,2.429037800000e-01,-2.429037800000e-01,-6.609748578191e+00
5.8148346773,1.668547640000e-01,-1.668547640000e-01,-4.540349430187e+00
5.9719923712,1.056370880000e-01,-1.056370880000e-01,-2.874531603469e+00
6.1291500652,6.076503200000e-02,-6.076503200000e-02,-1.653500756002e+00
6.2863077592,2.965176840000e-02,-2.965176840000e-02,-8.068657228090e-01
6.4434654532,8.654563960000e-03,-8.654563960000e-03,-2.355026827062e-01
6.6006231472,-5.462319160000e-03,5.462319160000e-03,1.486372764616e-01
6.7577808411,-1.516774440000e-02,1.516774440000e-02,4.127353513488e-01
6.9149385351,-2.226463240000e-02,2.226463240000e-02,6.058515118613e-01
7.0720962291,-2.809922160000e-02,2.809922160000e-02,7.646187721692e-01
7.2292539231,-3.375817080000e-02,3.375817080000e-02,9.186066245968e-01
7.3864116171,-4.023392720000e-02,4.023392720000e-02,1.094820933232e+00
7.5435693110,-4.857106960000e-02,4.857106960000e-02,1.321686135266e+00
7.7007270050,-6.001846840000e-02,6.001846840000e-02,1.633185725525e+00
7.8578846990,-7.622016000000e-02,7.622016000000e-02,2.074056213491e+00
8.0150423930,-9.947733520000e-02,9.947733520000e-02,2.706916190849e+00
8.1722000870,-1.330136300000e-01,1.330136300000e-01,3.619485261911e+00
8.3293577809,-1.808307104000e-01,1.808307104000e-01,4.920654305831e+00
8.4865154749,-2.461534932000e-01,2.461534932000e-01,6.698177779264e+00
8.6436731689,-3.270265116000e-01,3.270265116000e-01,8.898844719826e+00
8.8008308629,-4.073888896000e-01,4.073888896000e-01,1.108561642723e+01
8.9579885569,-4.538365336000e-01,4.538365336000e-01,1.234952120833e+01
9.1151462508,-4.405768624000e-01,4.405768624000e-01,1.198870717381e+01
9.2723039448,-3.763265496000e-01,3.763265496000e-01,1.024036709579e+01
9.4294616388,-2.948677604000e-01,2.948677604000e-01,8.023760519734e+00
9.5866193328,-2.225406660000e-01,2.225406660000e-01,6.055640017965e+00
9.7437770268,-1.674861472000e-01,1.674861472000e-01,4.557530242312e+00
9.9009347207,-1.287147000000e-01,1.287147000000e-01,3.502505417236e+00
10.0580924147,-1.030010132000e-01,1.030010132000e-01,2.802800353913e+00
10.2152501087,-8.775875200000e-02,8.775875200000e-02,2.388037297138e+00
10.3724078027,-8.182811840000e-02,8.182811840000e-02,2.226656535565e+00
10.5295654967,-8.545103000000e-02,8.545103000000e-02,2.325240982448e+00
10.6867231906,-1.001398168000e-01,1.001398168000e-01,2.724943233547e+00
10.8438808846,-1.285085700000e-01,1.285085700000e-01,3.496896334190e+00
11.0010385786,-1.737029056000e-01,1.737029056000e-01,4.726696856332e+00
11.1581962726,-2.377692716000e-01,2.377692716000e-01,6.470031486935e+00
11.3153539666,-3.185785808000e-01,3.185785808000e-01,8.668964811847e+00
11.4725116605,-4.065137324000e-01,4.065137324000e-01,1.106180218663e+01
11.6296693545,-4.845315668000e-01,4.845315668000e-01,1.318477561257e+01
11.7868270485,-5.350815188000e-01,5.350815188000e-01,1.456030988116e+01
11.9439847425,-5.515032528000e-01,5.515032528000e-01,1.500716802786e+01
12.1011424365,-5.443454264000e-01,5.443454264000e-01,1.481239364901e+01
12.2583001304,-5.349970436000e-01,5.349970436000e-01,1.455801119386e+01
12.4154578244,-5.393183328000e-01,5.393183328000e-01,1.467559946336e+01
12.5726155184,-5.498949952000e-01,5.498949952000e-01,1.496340510912e+01
12.7297732124,-5.359164212000e-01,5.359164212000e-01,1.458302873284e+01
12.8869309064,-4.756523352000e-01,4.756523352000e-01,1.294315941193e+01
13.0440886003,-3.813734440000e-01,3.813734440000e-01,1.037770008865e+01
13.2012462943,-2.845224776000e-01,2.845224776000e-01,7.742251033639e+00
13.3584039883,-2.050372168000e-01,2.050372168000e-01,5.579346901147e+00
13.5155616823,-1.465989520000e-01,1.465989520000e-01,3.989160706129e+00
13.6727193763,-1.061764060000e-01,1.061764060000e-01,2.889207193877e+00
13.8298770702,-7.979531880000e-02,7.979531880000e-02,2.171341240489e+00
13.9870347642,-6.472174400000e-02,6.472174400000e-02,1.761168374498e+00
14.1441924582,-5.985772480000e-02,5.985772480000e-02,1.628811669339e+00
14.3013501522,-6.555078960000e-02,6.555078960000e-02,1.783727854535e+00
14.4585078462,-8.338614520000e-02,8.338614520000e-02,2.269052604601e+00
14.6156655401,-1.159355452000e-01,1.159355452000e-01,3.154766900076e+00
14.7728232341,-1.660308892000e-01,1.660308892000e-01,4.517930654786e+00
14.9299809281,-2.349020792000e-01,2.349020792000e-01,6.392011207097e+00
15.0871386221,-3.189643124000e-01,3.189643124000e-01,8.679461103402e+00
15.2442963161,-4.068727280000e-01,4.068727280000e-01,1.107157095457e+01
15.4014540100,-4.807345156000e-01,4.807345156000e-01,1.308145258577e+01
15.5586117040,-5.243164416000e-01,5.243164416000e-01,1.426737720750e+01
15.7157693980,-5.342766452000e-01,5.342766452000e-01,1.453840815475e+01
15.8729270920,-5.243156988000e-01,5.243156988000e-01,1.426735699488e+01
16.0300847860,-5.163074608000e-01,5.163074608000e-01,1.404944173751e+01
16.1872424799,-5.228668040000e-01,5.228668040000e-01,1.422793055885e+01
16.3444001739,-5.309582980000e-01,5.309582980000e-01,1.444811132739e+01
16.5015578679,-5.083349824000e-01,5.083349824000e-01,1.383249954843e+01
16.6587155619,-4.389768436000e-01,4.389768436000e-01,1.194516844424e+01
16.8158732559,-3.411208332000e-01,3.411208332000e-01,9.282370748758e+00
16.9730309498,-2.458658183600e-01,2.458658183600e-01,6.690349748080e+00
17.1301886438,-1.694801148800e-01,1.694801148800e-01,4.611788867014e+00
17.2873463378,-1.137092076400e-01,1.137092076400e-01,3.094185168817e+00
17.4445040318,-7.512826006000e-02,7.512826006000e-02,2.044344102482e+00
17.6016617258,-4.999912774216e-02,4.999912774216e-02,1.360545576954e+00
17.7588194197,-3.596605303648e-02,3.596605303648e-02,9.786861609193e-01
17.9159771137,-3.224289251600e-02,3.224289251600e-02,8.773738019408e-01
18.0731348077,-3.937383355200e-02,3.937383355200e-02,1.071416592769e+00
18.2302925017,-5.900429223960e-02,5.900429223960e-02,1.605588586303e+00
18.3874501957,-9.353751160000e-02,9.353751160000e-02,2.545285356636e+00
18.5446078896,-1.451803232020e-01,1.451803232020e-01,3.950557849967e+00
18.7017655836,-2.137257887520e-01,2.137257887520e-01,5.815774988459e+00
18.8589232776,-2.931041838040e-01,2.931041838040e-01,7.975771155806e+00
19.0160809716,-3.688062481200e-01,3.688062481200e-01,1.003572926753e+01
19.1732386656,-4.202249353396e-01,4.202249353396e-01,1.143490302572e+01
19.3303963595,-4.298121862120e-01,4.298121862120e-01,1.169578541225e+01
19.4875540535,-3.937333543056e-01,3.937333543056e-01,1.071403038194e+01
19.6447117475,-3.245027523200e-01,3.245027523200e-01,8.830169731266e+00
19.8018694415,-2.429041892072e-01,2.429041892072e-01,6.609759713286e+00
19.9590271355,-1.668539516444e-01,1.668539516444e-01,4.540327324865e+00
20.1161848294,-1.056367976840e-01,1.056367976840e-01,2.874523703569e+00
20.2733425234,-6.076495208000e-02,6.076495208000e-02,1.653498581268e+00
20.4305002174,-2.965180015240e-02,2.965180015240e-02,8.068665868358e-01
20.5876579114,-8.654594208880e-03,8.654594208880e-03,2.355035058201e-01
20.7448156054,5.462312360000e-03,-5.462312360000e-03,-1.486370914242e-01
20.9019732993,1.516773168000e-02,-1.516773168000e-02,-4.127350052200e-01
21.0591309933,2.226461280680e-02,-2.226461280680e-02,-6.058509787032e-01
21.2162886873,2.809919912000e-02,-2.809919912000e-02,-7.646181604572e-01
21.3734463813,3.375817480000e-02,-3.375817480000e-02,-9.186067334424e-01
21.5306040753,4.023396520000e-02,-4.023396520000e-02,-1.094821967265e+00
21.6877617692,4.857117920000e-02,-4.857117920000e-02,-1.321689117634e+00
21.8449194632,6.001843640000e-02,-6.001843640000e-02,-1.633184854761e+00
22.0020771572,7.622017400000e-02,-7.622017400000e-02,-2.074056594450e+00
22.1592348512,9.947735240000e-02,-9.947735240000e-02,-2.706916658885e+00
22.3163925452,1.330135960000e-01,-1.330135960000e-01,-3.619484336724e+00
22.4735502391,1.808309000000e-01,-1.808309000000e-01,-4.920659465110e+00
22.6307079331,2.461540320000e-01,-2.461540320000e-01,-6.698192440759e+00
22.7878656271,3.270258520000e-01,-3.270258520000e-01,-8.898826771195e+00
22.9450233211,4.073891720000e-01,-4.073891720000e-01,-1.108562411173e+01
23.1021810151,4.538366120000e-01,-4.538366120000e-01,-1.234952334170e+01
23.2593387090,4.405769040000e-01,-4.405769040000e-01,-1.198870830581e+01
23.4164964030,3.763260160000e-01,-3.763260160000e-01,-1.024035257579e+01
23.5736540970,2.948676680000e-01,-2.948676680000e-01,-8.023758005402e+00
23.7308117910,2.225403760000e-01,-2.225403760000e-01,-6.055632126663e+00
23.8879694850,1.674861000000e-01,-1.674861000000e-01,-4.557528957934e+00
24.0451271789,1.287147160000e-01,-1.287147160000e-01,-3.502505852619e+00
24.2022848729,1.030008480000e-01,-1.030008480000e-01,-2.802795858592e+00
24.3594425669,8.775869760000e-02,-8.775869760000e-02,-2.388035816838e+00
24.5166002609,8.182811280000e-02,-8.182811280000e-02,-2.226656383181e+00
24.6737579549,8.545107800000e-02,-8.545107800000e-02,-2.325242288594e+00
24.8309156488,1.001395360000e-01,-1.001395360000e-01,-2.724935592590e+00
24.9880733428,1.285076480000e-01,-1.285076480000e-01,-3.496871245292e+00
25.1452310368,1.737036880000e-01,-1.737036880000e-01,-4.726718146521e+00
25.3023887308,2.377686080000e-01,-2.377686080000e-01,-6.470013429459e+00
25.4595464248,3.185786200000e-01,-3.185786200000e-01,-8.668965878534e+00
25.6167041187,4.065133040000e-01,-4.065133040000e-01,-1.106179052928e+01
25.7738618127,4.845300000000e-01,-4.845300000000e-01,-1.318473297777e+01
25.9310195067,5.350800000000e-01,-5.350800000000e-01,-1.456026855250e+01
26.0881772007,5.515000000000e-01,-5.515000000000e-01,-1.500707951466e+01
26.2453348947,5.443445040000e-01,-5.443445040000e-01,-1.481236854922e+01
26.4024925886,5.350000000000e-01,-5.350000000000e-01,-1.455809164160e+01
26.5596502826,5.393200000000e-01,-5.393200000000e-01,-1.467564483019e+01
26.7168079766,5.498900000000e-01,-5.498900000000e-01,-1.496326918281e+01
26.8739656706,5.359200000000e-01,-5.359200000000e-01,-1.458312611695e+01
27.0311233646,4.756500000000e-01,-4.756500000000e-01,-1.294309586790e+01
27.1882810585,3.813700000000e-01,-3.813700000000e-01,-1.037760637263e+01
27.3454387525,2.845200000000e-01,-2.845200000000e-01,-7.742183614709e+00
27.5025964465,2.050400000000e-01,-2.050400000000e-01,-5.579422635877e+00
27.6597541405,1.466000000000e-01,-1.466000000000e-01,-3.989189223662e+00
27.8169118345,1.061800000000e-01,-1.061800000000e-01,-2.889304991599e+00
27.9740695284,7.979500000000e-02,-7.979500000000e-02,-2.171332565499e+00
28.1312272224,6.472200000000e-02,-6.472200000000e-02,-1.761175340613e+00
