z_angstrom,conventional_electrostatic_potential_ev,electron_density_au
0.0000000000,-1.628819157912e+00,-2.262776320000e-18
0.1571576940,-1.783733579811e+00,1.426560839426e-10
0.3143153880,-2.269048653508e+00,-2.835211569932e-10
0.4714730819,-3.154888121360e+00,4.034977040176e-10
0.6286307759,-4.517906458421e+00,-4.810210132464e-10
0.7857884699,-6.391954629183e+00,4.989800903992e-10
0.9429461639,-8.679343757020e+00,-4.509554637333e-10
1.1001038579,-1.107149672191e+01,3.423854257897e-10
1.2572615518,-1.308160182390e+01,-1.866106671488e-10
1.4144192458,-1.426747403650e+01,2.411119897960e-15
1.5715769398,-1.453849944351e+01,1.996129218576e-10
1.7287346338,-1.426734004763e+01,-3.912006562796e-10
1.8858923278,-1.404951083267e+01,5.494898244295e-10
2.0430500217,-1.422801752644e+01,-6.481874731584e-10
2.2002077157,-1.444815764117e+01,6.675595202944e-10
2.3573654097,-1.383248315629e+01,-5.999231079151e-10
2.5145231037,-1.194525433426e+01,4.546810000632e-10
2.6716807977,-9.282348076232e+00,-2.436872253571e-10
2.8288384916,-6.690392895542e+00,7.123913760000e-12
2.9859961856,-4.611785740970e+00,2.794724071200e-10
3.1431538796,-3.094193559720e+00,-4.499001693840e-10
3.3003115736,-2.044345189304e+00,8.470913968000e-10
3.4574692676,-1.360546258813e+00,-4.462232333600e-10
3.6146269615,-9.786870252488e-01,1.794108772000e-09
3.7717846555,-8.773725361759e-01,1.602092784800e-09
3.9289423495,-1.071417932875e+00,6.230990160000e-09
4.0861000435,-1.605587578404e+00,1.298642556800e-08
4.2432577375,-2.545285563443e+00,3.036434240000e-08
4.4004154314,-3.950569844692e+00,6.787208560000e-08
4.5575731254,-5.815778342208e+00,1.457357120000e-07
4.7147308194,-7.975767351545e+00,3.094175720000e-07
4.8718885134,-1.003573481538e+01,6.323385000000e-07
5.0290462074,-1.143490119332e+01,1.265863148000e-06
5.1862039013,-1.169578818204e+01,2.457596440000e-06
5.3433615953,-1.071405676867e+01,4.650716040000e-06
5.5005192893,-8.830168960639e+00,8.560219040000e-06
5.6576769833,-6.609748578191e+00,1.534263792000e-05
5.8148346773,-4.540349430187e+00,2.678256080000e-05
5.9719923712,-2.874531603469e+00,4.556422160000e-05
6.1291500652,-1.653500756002e+00,7.562433480000e-05
6.2863077592,-8.068657228090e-01,1.225946160000e-04
6.4434654532,-2.355026827062e-01,1.944298592000e-04
6.6006231472,1.486372764616e-01,3.021916080000e-04
6.7577808411,4.127353513488e-01,4.611255400000e-04
6.9149385351,6.058515118613e-01,6.919476880000e-04
7.0720962291,7.646187721692e-01,1.022571024000e-03
7.2292539231,9.186066245968e-01,1.490980380000e-03
7.3864116171,1.094820933232e+00,2.151442200000e-03
7.5435693110,1.321686135266e+00,3.088268184000e-03
7.7007270050,1.633185725525e+00,4.443691980000e-03
7.8578846990,2.074056213491e+00,6.476814512000e-03
8.0150423930,2.706916190849e+00,9.714228240000e-03
8.1722000870,3.619485261911e+00,1.530982152000e-02
8.3293577809,4.920654305831e+00,2.558448964000e-02
8.4865154749,6.698177779264e+00,4.335979240000e-02
8.6436731689,8.898844719826e+00,6.464272156000e-02
8.8008308629,1.108561642723e+01,7.492379712000e-02
8.9579885569,1.234952120833e+01,7.576045228000e-02
9.1151462508,1.198870717381e+01,7.571217096000e-02
9.2723039448,1.024036709579e+01,7.196563384000e-02
9.4294616388,8.023760519734e+00,5.493940696000e-02
9.5866193328,6.055640017965e+00,3.378619024000e-02
9.7437770268,4.557530242312e+00,1.994140284000e-02
9.9009347207,3.502505417236e+00,1.282537390000e-02
10.0580924147,2.802800353913e+00,9.514498344000e-03
10.2152501087,2.388037297138e+00,8.317890864000e-03
10.3724078027,2.226656535565e+00,8.527323176000e-03
10.5295654967,2.325240982448e+00,9.907455100000e-03
10.6867231906,2.724943233547e+00,1.236596928000e-02
10.8438808846,3.496896334190e+00,1.567901936000e-02
11.0010385786,4.726696856332e+00,1.927181804000e-02
11.1581962726,6.470031486935e+00,2.235373188000e-02
11.3153539666,8.668964811847e+00,2.454718976000e-02
11.4725116605,1.106180218663e+01,2.633444540000e-02
11.6296693545,1.318477561257e+01,2.864741404800e-02
11.7868270485,1.456030988116e+01,3.236907499200e-02
11.9439847425,1.500716802786e+01,3.879172121600e-02
12.1011424365,1.481239364901e+01,5.040459784000e-02
12.2583001304,1.455801119386e+01,6.927906456000e-02
12.4154578244,1.467559946336e+01,8.819109788000e-02
12.5726155184,1.496340510912e+01,9.303504080000e-02
12.7297732124,1.458302873284e+01,8.981216024000e-02
12.8869309064,1.294315941193e+01,8.598223084000e-02
13.0440886003,1.037770008865e+01,7.702897040000e-02
13.2012462943,7.742251033639e+00,5.543549272000e-02
13.3584039883,5.579346901147e+00,3.357975120000e-02
13.5155616823,3.989160706129e+00,2.018535120000e-02
13.6727193763,2.889207193877e+00,1.335764736000e-02
13.8298770702,2.171341240489e+00,1.019734228000e-02
13.9870347642,1.761168374498e+00,9.117849760000e-03
14.1441924582,1.628811669339e+00,9.434716520000e-03
14.3013501522,1.783727854535e+00,1.089157980000e-02
14.4585078462,2.269052604601e+00,1.335077236000e-02
14.6156655401,3.154766900076e+00,1.652609048000e-02
14.7728232341,4.517930654786e+00,1.981539040000e-02
14.9299809281,6.392011207097e+00,2.252731784000e-02
15.0871386221,8.679461103402e+00,2.449399408000e-02
15.2442963161,1.107157095457e+01,2.633037072000e-02
15.4014540100,1.308145258577e+01,2.893434344400e-02
15.5586117040,1.426737720750e+01,3.316786086400e-02
15.7157693980,1.453840815475e+01,4.048392065600e-02
15.8729270920,1.426735699488e+01,5.355175548000e-02
16.0300847860,1.404944173751e+01,7.353154984000e-02
16.1872424799,1.422793055885e+01,9.046730752000e-02
16.3444001739,1.444811132739e+01,9.263047680000e-02
16.5015578679,1.383249954843e+01,8.903432984000e-02
16.6587155619,1.194516844424e+01,8.487816376000e-02
16.8158732559,9.282370748758e+00,7.348871624000e-02
16.9730309498,6.690349748080e+00,5.052662700000e-02
17.1301886438,4.611788867014e+00,3.019285036000e-02
17.2873463378,3.094185168817e+00,1.843294504000e-02
17.4445040318,2.044344102482e+00,1.258611892000e-02
17.6016617258,1.360545576954e+00,9.972930280000e-03
17.7588194197,9.786861609193e-01,9.211958320000e-03
17.9159771137,8.773738019408e-01,9.712979720000e-03
18.0731348077,1.071416592769e+00,1.123676580000e-02
18.2302925017,1.605588586303e+00,1.359900280000e-02
18.3874501957,2.545285356636e+00,1.640315388000e-02
18.5446078896,3.950557849967e+00,1.892635816000e-02
18.7017655836,5.815774988459e+00,2.045696356000e-02
18.8589232776,7.975771155806e+00,2.090499292000e-02
19.0160809716,1.003572926753e+01,2.084274028000e-02
19.1732386656,1.143490302572e+01,2.081699359200e-02
19.3303963595,1.169578541225e+01,2.094811676800e-02
19.4875540535,1.071403038194e+01,2.118826547600e-02
19.6447117475,8.830169731266e+00,2.143210036000e-02
19.8018694415,6.609759713286e+00,2.118336164000e-02
19.9590271355,4.540327324865e+00,1.966844388000e-02
20.1161848294,2.874523703569e+00,1.667456564000e-02
20.2733425234,1.653498581268e+00,1.289054976000e-02
20.4305002174,8.068665868358e-01,9.263978612000e-03
20.5876579114,2.355035058201e-01,6.347514720000e-03
20.7448156054,-1.486370914242e-01,4.232287628000e-03
20.9019732993,-4.127350052200e-01,2.780602144000e-03
21.0591309933,-6.058509787032e-01,1.811687492000e-03
21.2162886873,-7.646181604572e-01,1.174186636000e-03
21.3734463813,-9.186067334424e-01,7.578552680000e-04
21.5306040753,-1.094821967265e+00,4.868901160000e-04
21.6877617692,-1.321689117634e+00,3.107852312000e-04
21.8449194632,-1.633184854761e+00,1.965271240000e-04
22.0020771572,-2.074056594450e+00,1.227006740000e-04
22.1592348512,-2.706916658885e+00,7.538051040000e-05
22.3163925452,-3.619484336724e+00,4.542710080000e-05
22.4735502391,-4.920659465110e+00,2.678418140000e-05
22.6307079331,-6.698192440759e+00,1.541773848000e-05
22.7878656271,-8.898826771195e+00,8.650080960000e-06
22.9450233211,-1.108562411173e+01,4.724223520000e-06
23.1021810151,-1.234952334170e+01,2.509039260000e-06
23.2593387090,-1.198870830581e+01,1.295087444000e-06
23.4164964030,-1.024035257579e+01,6.492199000000e-07
23.5736540970,-8.023758005402e+00,3.160561352000e-07
23.7308117910,-6.055632126663e+00,1.493082624000e-07
23.8879694850,-4.557528957934e+00,6.848866240000e-08
24.0451271789,-3.502505852619e+00,3.047507276000e-08
24.2022848729,-2.802795858592e+00,1.315938430800e-08
24.3594425669,-2.388035816838e+00,5.502303200000e-09
24.5166002609,-2.226656383181e+00,2.280086198800e-09
24.6737579549,-2.325242288594e+00,8.223030392000e-10
24.8309156488,-2.724935592590e+00,4.141537385600e-10
24.9880733428,-3.496871245292e+00,5.383797600000e-11
25.1452310368,-4.726718146521e+00,1.012488944200e-10
25.3023887308,-6.470013429459e+00,-1.575484835200e-11
25.4595464248,-8.668965878534e+00,5.391623600000e-12
25.6167041187,-1.106179052928e+01,4.347061879702e-11
25.7738618127,-1.318473297777e+01,-9.261088245200e-11
25.9310195067,-1.456026855250e+01,1.465126114646e-10
26.0881772007,-1.500707951466e+01,-1.868126621472e-10
26.2453348947,-1.481236854922e+01,2.017358893348e-10
26.4024925886,-1.455809164160e+01,-1.858148536434e-10
26.5596502826,-1.467564483019e+01,1.425719623287e-10
26.7168079766,-1.496326918281e+01,-7.883063027768e-11
26.8739656706,-1.458312611695e+01,-2.558833799960e-15
27.0311233646,-1.294309586790e+01,8.995068070240e-11
27.1882810585,-1.037760637263e+01,-1.840521019268e-10
27.3454387525,-7.742183614709e+00,2.689346329075e-10
27.5025964465,-5.579422635877e+00,-3.270023949649e-10
27.6597541405,-3.989189223662e+00,3.434352133764e-10
27.8169118345,-2.889304991599e+00,-3.124780250918e-10
27.9740695284,-2.171332565499e+00,2.382738920528e-10
28.1312272224,-1.761175340613e+00,-1.305693444178e-10
