 # DOS at iteration step i = 0, E_Fermi[a.u.] =    -0.184459
 #  Energy[a.u.]       Density     Occupation
    -0.60657700         0.0026         2.0000
    -0.60473953         0.0000         0.0000
    -0.60290206         0.0000         0.0000
    -0.60106459         0.0153        12.0000
    -0.59922712         0.0000         0.0000
    -0.59738965         0.0000         0.0000
    -0.59555218         0.0153        12.0000
    -0.59371471         0.0000         0.0000
    -0.59187724         0.0000         0.0000
    -0.59003977         0.0000         0.0000
    -0.58820230         0.0026         2.0000
    -0.58636483         0.0000         0.0000
    -0.58452736         0.0000         0.0000
    -0.58268989         0.0153        12.0000
    -0.58085242         0.0000         0.0000
    -0.57901495         0.0153        12.0000
    -0.57717748         0.0000         0.0000
    -0.57534001         0.0000         0.0000
    -0.57350254         0.0000         0.0000
    -0.57166507         0.0000         0.0000
    -0.56982760         0.0000         0.0000
    -0.56799013         0.0000         0.0000
    -0.56615266         0.0000         0.0000
    -0.56431519         0.0000         0.0000
    -0.56247772         0.0000         0.0000
    -0.56064025         0.0000         0.0000
    -0.55880278         0.0000         0.0000
    -0.55696531         0.0000         0.0000
    -0.55512784         0.0000         0.0000
    -0.55329037         0.0000         0.0000
    -0.55145290         0.0000         0.0000
    -0.54961543         0.0000         0.0000
    -0.54777796         0.0000         0.0000
    -0.54594049         0.0026         2.0000
    -0.54410302         0.0000         0.0000
    -0.54226555         0.0000         0.0000
    -0.54042808         0.0153        12.0000
    -0.53859061         0.0000         0.0000
    -0.53675314         0.0153        12.0000
    -0.53491567         0.0000         0.0000
    -0.53307820         0.0000         0.0000
    -0.53124073         0.0000         0.0000
    -0.52940326         0.0000         0.0000
    -0.52756579         0.0000         0.0000
    -0.52572832         0.0000         0.0000
    -0.52389085         0.0000         0.0000
    -0.52205338         0.0000         0.0000
    -0.52021591         0.0000         0.0000
    -0.51837844         0.0000         0.0000
    -0.51654097         0.0000         0.0000
    -0.51470350         0.0000         0.0000
    -0.51286603         0.0000         0.0000
    -0.51102856         0.0000         0.0000
    -0.50919109         0.0000         0.0000
    -0.50735362         0.0000         0.0000
    -0.50551615         0.0000         0.0000
    -0.50367868         0.0051         4.0000
    -0.50184121         0.0153        12.0000
    -0.50000374         0.0307        24.0000
    -0.49816627         0.0332        26.0000
    -0.49632880         0.0153        12.0000
    -0.49449133         0.0665        52.0000
    -0.49265386         0.0000         0.0000
    -0.49081639         0.0153        12.0000
    -0.48897892         0.1049        82.0000
    -0.48714145         0.0153        12.0000
    -0.48530398         0.0153        12.0000
    -0.48346651         0.0051         4.0000
    -0.48162904         0.0153        12.0000
    -0.47979157         0.0153        12.0000
    -0.47795410         0.0153        12.0000
    -0.47611663         0.0307        24.0000
    -0.47427916         0.0512        40.0000
    -0.47244169         0.0000         0.0000
    -0.47060422         0.0153        12.0000
    -0.46876675         0.0026         2.0000
    -0.46692928         0.0000         0.0000
    -0.46509181         0.0153        12.0000
    -0.46325434         0.0000         0.0000
    -0.46141687         0.0153        12.0000
    -0.45957940         0.0000         0.0000
    -0.45774193         0.0000         0.0000
    -0.45590446         0.0000         0.0000
    -0.45406699         0.0000         0.0000
    -0.45222952         0.0000         0.0000
    -0.45039205         0.0000         0.0000
    -0.44855458         0.0000         0.0000
    -0.44671711         0.0000         0.0000
    -0.44487964         0.0000         0.0000
    -0.44304217         0.0000         0.0000
    -0.44120470         0.0000         0.0000
    -0.43936723         0.0000         0.0000
    -0.43752976         0.0000         0.0000
    -0.43569229         0.0000         0.0000
    -0.43385482         0.0000         0.0000
    -0.43201735         0.0000         0.0000
    -0.43017988         0.0000         0.0000
    -0.42834241         0.0000         0.0000
    -0.42650494         0.0000         0.0000
    -0.42466747         0.0000         0.0000
    -0.42283000         0.0000         0.0000
    -0.42099253         0.0000         0.0000
    -0.41915506         0.0000         0.0000
    -0.41731759         0.0000         0.0000
    -0.41548012         0.0000         0.0000
    -0.41364265         0.0000         0.0000
    -0.41180518         0.0000         0.0000
    -0.40996771         0.0000         0.0000
    -0.40813024         0.0000         0.0000
    -0.40629277         0.0000         0.0000
    -0.40445530         0.0000         0.0000
    -0.40261783         0.0000         0.0000
    -0.40078036         0.0000         0.0000
    -0.39894289         0.0000         0.0000
    -0.39710542         0.0000         0.0000
    -0.39526795         0.0000         0.0000
    -0.39343048         0.0000         0.0000
    -0.39159301         0.0000         0.0000
    -0.38975554         0.0000         0.0000
    -0.38791807         0.0000         0.0000
    -0.38608060         0.0000         0.0000
    -0.38424313         0.0000         0.0000
    -0.38240566         0.0000         0.0000
    -0.38056819         0.0000         0.0000
    -0.37873072         0.0000         0.0000
    -0.37689325         0.0000         0.0000
    -0.37505578         0.0000         0.0000
    -0.37321831         0.0000         0.0000
    -0.37138084         0.0000         0.0000
    -0.36954337         0.0000         0.0000
    -0.36770590         0.0000         0.0000
    -0.36586843         0.0000         0.0000
    -0.36403096         0.0000         0.0000
    -0.36219349         0.0000         0.0000
    -0.36035602         0.0000         0.0000
    -0.35851855         0.0000         0.0000
    -0.35668108         0.0000         0.0000
    -0.35484361         0.0000         0.0000
    -0.35300614         0.0153        12.0000
    -0.35116867         0.0000         0.0000
    -0.34933120         0.0000         0.0000
    -0.34749373         0.0000         0.0000
    -0.34565626         0.0000         0.0000
    -0.34381879         0.0026         2.0000
    -0.34198132         0.0000         0.0000
    -0.34014385         0.0000         0.0000
    -0.33830638         0.0000         0.0000
    -0.33646891         0.0153        12.0000
    -0.33463144         0.0153        12.0000
    -0.33279397         0.0000         0.0000
    -0.33095650         0.0000         0.0000
    -0.32911903         0.0000         0.0000
    -0.32728156         0.0000         0.0000
    -0.32544409         0.0000         0.0000
    -0.32360662         0.0000         0.0000
    -0.32176915         0.0000         0.0000
    -0.31993168         0.0000         0.0000
    -0.31809421         0.0000         0.0000
    -0.31625674         0.0000         0.0000
    -0.31441927         0.0000         0.0000
    -0.31258180         0.0000         0.0000
    -0.31074433         0.0000         0.0000
    -0.30890686         0.0153        12.0000
    -0.30706939         0.0000         0.0000
    -0.30523192         0.0000         0.0000
    -0.30339445         0.0000         0.0000
    -0.30155698         0.0000         0.0000
    -0.29971951         0.0153        12.0000
    -0.29788204         0.0000         0.0000
    -0.29604457         0.0153        12.0000
    -0.29420710         0.0026         2.0000
    -0.29236963         0.0000         0.0000
    -0.29053216         0.0000         0.0000
    -0.28869469         0.0000         0.0000
    -0.28685722         0.0000         0.0000
    -0.28501975         0.0000         0.0000
    -0.28318228         0.0000         0.0000
    -0.28134481         0.0000         0.0000
    -0.27950734         0.0000         0.0000
    -0.27766987         0.0000         0.0000
    -0.27583240         0.0153        12.0000
    -0.27399493         0.0000         0.0000
    -0.27215746         0.0000         0.0000
    -0.27031999         0.0000         0.0000
    -0.26848252         0.0000         0.0000
    -0.26664505         0.0000         0.0000
    -0.26480758         0.0000         0.0000
    -0.26297011         0.0000         0.0000
    -0.26113264         0.0000         0.0000
    -0.25929517         0.0307        24.0000
    -0.25745770         0.0000         0.0000
    -0.25562023         0.0000         0.0000
    -0.25378276         0.0000         0.0000
    -0.25194529         0.0000         0.0000
    -0.25010782         0.0153        12.0000
    -0.24827035         0.0000         0.0000
    -0.24643288         0.0153        12.0000
    -0.24459541         0.0000         0.0000
    -0.24275794         0.0000         0.0000
    -0.24092047         0.0000         0.0000
    -0.23908300         0.0026         2.0000
    -0.23724553         0.0000         0.0000
    -0.23540806         0.0000         0.0000
    -0.23357059         0.0000         0.0000
    -0.23173312         0.0000         0.0000
    -0.22989565         0.0000         0.0000
    -0.22805818         0.0000         0.0000
    -0.22622071         0.0153        12.0000
    -0.22438324         0.0000         0.0000
    -0.22254577         0.0000         0.0000
    -0.22070830         0.0205        16.0000
    -0.21887083         0.0000         0.0000
    -0.21703336         0.0000         0.0000
    -0.21519589         0.0000         0.0000
    -0.21335842         0.0307        24.0000
    -0.21152095         0.0000         0.0000
    -0.20968348         0.0000         0.0000
    -0.20784601         0.0000         0.0000
    -0.20600854         0.0000         0.0000
    -0.20417107         0.0153        12.0000
    -0.20233360         0.0000         0.0000
    -0.20049613         0.0000         0.0000
    -0.19865866         0.0051         3.9997
    -0.19682119         0.0000         0.0000
    -0.19498372         0.0153        11.9748
    -0.19314625         0.0026         1.9897
    -0.19130878         0.0000         0.0000
    -0.18947131         0.0153        11.4327
    -0.18763384         0.0000         0.0000
    -0.18579637         0.0000         0.0000
    -0.18395890         0.0000         0.0000
    -0.18212143         0.0153         2.5908
    -0.18028396         0.0000         0.0000
    -0.17844649         0.0000         0.0000
    -0.17660902         0.0000         0.0000
    -0.17477155         0.0000         0.0000
    -0.17293408         0.0153         0.0125
    -0.17109661         0.0000         0.0000
    -0.16925914         0.0000         0.0000
    -0.16742167         0.0000         0.0000
    -0.16558420         0.0000         0.0000
    -0.16374673         0.0051         0.0000
    -0.16190926         0.0000         0.0000
    -0.16007179         0.0000         0.0000
    -0.15823432         0.0000         0.0000
    -0.15639685         0.0000         0.0000
    -0.15455938         0.0000         0.0000
    -0.15272191         0.0000         0.0000
    -0.15088444         0.0000         0.0000
    -0.14904697         0.0000         0.0000
    -0.14720950         0.0000         0.0000
    -0.14537203         0.0000         0.0000
    -0.14353456         0.0000         0.0000
    -0.14169709         0.0000         0.0000
    -0.13985962         0.0000         0.0000
    -0.13802215         0.0000         0.0000
    -0.13618468         0.0000         0.0000
    -0.13434721         0.0026         0.0000
    -0.13250974         0.0153         0.0000
    -0.13067227         0.0000         0.0000
    -0.12883480         0.0000         0.0000
    -0.12699733         0.0000         0.0000
    -0.12515986         0.0000         0.0000
    -0.12332239         0.0000         0.0000
    -0.12148492         0.0000         0.0000
    -0.11964745         0.0000         0.0000
    -0.11780998         0.0000         0.0000
    -0.11597251         0.0000         0.0000
    -0.11413504         0.0026         0.0000
    -0.11229757         0.0000         0.0000
    -0.11046010         0.0000         0.0000
    -0.10862263         0.0000         0.0000
    -0.10678516         0.0000         0.0000
    -0.10494769         0.0000         0.0000
    -0.10311022         0.0000         0.0000
    -0.10127275         0.0000         0.0000
    -0.09943528         0.0000         0.0000
    -0.09759781         0.0000         0.0000
    -0.09576034         0.0000         0.0000
    -0.09392287         0.0153         0.0000
    -0.09208540         0.0000         0.0000
    -0.09024793         0.0000         0.0000
    -0.08841046         0.0000         0.0000
    -0.08657299         0.0000         0.0000
    -0.08473552         0.0000         0.0000
    -0.08289805         0.0000         0.0000
    -0.08106058         0.0000         0.0000
    -0.07922311         0.0000         0.0000
    -0.07738564         0.0000         0.0000
    -0.07554817         0.0153         0.0000
    -0.07371070         0.0000         0.0000
    -0.07187323         0.0153         0.0000
    -0.07003576         0.0000         0.0000
    -0.06819829         0.0000         0.0000
    -0.06636082         0.0000         0.0000
    -0.06452335         0.0000         0.0000
    -0.06268588         0.0026         0.0000
