z_angstrom,cp2k_v_hartree_raw_hartree,conventional_electrostatic_potential_hartree,conventional_electrostatic_potential_ev
0.0000000000,-1.280164640000e-01,1.280164640000e-01,3.483505447750e+00
0.1658166207,-1.233808160000e-01,1.233808160000e-01,3.357363039521e+00
0.3316332414,-1.052537080000e-01,1.052537080000e-01,2.864099302210e+00
0.4974498620,-7.076755280000e-02,7.076755280000e-02,1.925683212924e+00
0.6632664827,-1.731794880000e-02,1.731794880000e-02,4.712453937850e-01
0.8290831034,5.439642720000e-02,-5.439642720000e-02,-1.480202190941e+00
0.9948997241,1.358030600000e-01,-1.358030600000e-01,-3.695389519047e+00
1.1607163448,2.079251600000e-01,-2.079251600000e-01,-5.657931839019e+00
1.3265329655,2.466913720000e-01,-2.466913720000e-01,-6.712814207045e+00
1.4923495861,2.364710280000e-01,-2.364710280000e-01,-6.434704478894e+00
1.6581662068,1.811994520000e-01,-1.811994520000e-01,-4.930688275933e+00
1.8239828275,1.015897000000e-01,-1.015897000000e-01,-2.764396565314e+00
1.9897994482,2.137891360000e-02,-2.137891360000e-02,-5.817498754892e-01
2.1556160689,-4.407111840000e-02,4.407111840000e-02,1.199236225075e+00
2.3214326895,-8.975398040000e-02,8.975398040000e-02,2.442330227779e+00
2.4872493102,-1.169535680000e-01,1.169535680000e-01,3.182468711694e+00
2.6530659309,-1.288126840000e-01,1.288126840000e-01,3.505171697706e+00
2.8188825516,-1.278677080000e-01,1.278677080000e-01,3.479457590777e+00
2.9846991723,-1.151519960000e-01,1.151519960000e-01,3.133445440152e+00
3.1505157930,-9.005489760000e-02,9.005489760000e-02,2.450518601936e+00
3.3163324136,-5.112738960000e-02,5.112738960000e-02,1.391247146155e+00
3.4821490343,6.731599546273e-04,-6.731599546273e-04,-1.831761553070e-02
3.6479656550,5.827649360000e-02,-5.827649360000e-02,-1.585784176411e+00
3.8137822757,1.143624000000e-01,-1.143624000000e-01,-3.111959438418e+00
3.9795988964,1.537216680000e-01,-1.537216680000e-01,-4.182979682326e+00
4.1454155171,1.582511920000e-01,-1.582511920000e-01,-4.306234309400e+00
4.3112321377,1.503792280000e-01,-1.503792280000e-01,-4.092027256481e+00
4.4770487584,1.481050200000e-01,-1.481050200000e-01,-4.030142904190e+00
4.6428653791,1.558861000000e-01,-1.558861000000e-01,-4.241876877481e+00
4.8086819998,1.703027800000e-01,-1.703027800000e-01,-4.634174725346e+00
4.9744986205,1.770556520000e-01,-1.770556520000e-01,-4.817929733607e+00
5.1403152411,1.629578040000e-01,-1.629578040000e-01,-4.434307746442e+00
5.3061318618,1.265255960000e-01,-1.265255960000e-01,-3.442936862760e+00
5.4719484825,7.770158160000e-02,-7.770158160000e-02,-2.114367748842e+00
5.6377651032,2.957631760000e-02,-2.957631760000e-02,-8.048126019476e-01
5.8035817239,-9.049236347040e-03,9.049236347040e-03,2.462422654705e-01
5.9693983446,-3.539460320000e-02,3.539460320000e-02,9.631362186987e-01
6.1352149652,-5.049444960000e-02,5.049444960000e-02,1.374023971344e+00
6.3010315859,-5.654395720000e-02,5.654395720000e-02,1.538639459246e+00
6.4668482066,-5.535113600000e-02,5.535113600000e-02,1.506181140850e+00
6.6326648273,-4.774274400000e-02,4.774274400000e-02,1.299146247427e+00
6.7984814480,-3.340910492000e-02,3.340910492000e-02,9.091080581109e-01
6.9642980686,-1.101434778901e-02,1.101434778901e-02,2.997156719343e-01
7.1301146893,2.111850480000e-02,-2.111850480000e-02,-5.746637910506e-01
7.2959313100,6.316506880000e-02,-6.316506880000e-02,-1.718809084371e+00
7.4617479307,1.108839348000e-01,-1.108839348000e-01,-3.017305578318e+00
7.6275645514,1.538143896000e-01,-1.538143896000e-01,-4.185502765596e+00
7.7933811721,1.782551651700e-01,-1.782551651700e-01,-4.850570149783e+00
7.9591977927,1.753431634800e-01,-1.753431634800e-01,-4.771330547048e+00
8.1250144134,1.474921172000e-01,-1.474921172000e-01,-4.013464969368e+00
8.2908310341,1.052571031600e-01,-1.052571031600e-01,-2.864191689221e+00
8.4566476548,5.592250256400e-02,-5.592250256400e-02,-1.521728817111e+00
8.6224642755,-1.369642200000e-03,1.369642200000e-03,3.726986292300e-02
8.7882808961,-6.002507952000e-02,6.002507952000e-02,1.633365623265e+00
8.9540975168,-1.099746859600e-01,1.099746859600e-01,2.992563656939e+00
9.1199141375,-1.347372748800e-01,1.347372748800e-01,3.666388028492e+00
9.2857307582,-1.198711173240e-01,1.198711173240e-01,3.261859273242e+00
9.4515473789,-9.073723149600e-02,9.073723149600e-02,2.469085853129e+00
9.6173639996,-6.516011274400e-02,6.516011274400e-02,1.773096995709e+00
9.7831806202,-4.430616604800e-02,4.430616604800e-02,1.205632197411e+00
9.9489972409,-2.710107716800e-02,2.710107716800e-02,7.374578785008e-01
10.1148138616,-1.321385364840e-02,1.321385364840e-02,3.595672754246e-01
10.2806304823,-3.310339608000e-03,3.310339608000e-03,9.007892967868e-02
10.4464471030,8.469653920000e-04,-8.469653920000e-04,-2.304710241870e-02
10.6122637237,-3.578931406400e-03,3.578931406400e-03,9.738768484745e-02
10.7780803443,-2.045413465600e-02,2.045413465600e-02,5.565853584519e-01
10.9438969650,-5.433408451440e-02,5.433408451440e-02,1.478505760043e+00
11.1097135857,-1.090762981260e-01,1.090762981260e-01,2.968117278589e+00
11.2755302064,-1.845926394744e-01,1.845926394744e-01,5.023021610905e+00
11.4413468271,-2.724219038256e-01,2.724219038256e-01,7.412977646866e+00
11.6071634477,-3.542122356560e-01,3.542122356560e-01,9.638605957490e+00
11.7729800684,-4.086841827800e-01,4.086841827800e-01,1.112086315025e+01
11.9387966891,-4.259676549924e-01,4.259676549924e-01,1.159117038830e+01
12.1046133098,-4.170588532160e-01,4.170588532160e-01,1.134874954217e+01
12.2704299305,-4.066289395600e-01,4.066289395600e-01,1.106493713316e+01
12.4362465512,-4.119479429080e-01,4.119479429080e-01,1.120967458771e+01
12.6020631718,-4.206420255780e-01,4.206420255780e-01,1.144625262930e+01
12.7678797925,-3.955626545696e-01,3.955626545696e-01,1.076380817798e+01
12.9336964132,-3.188862079332e-01,3.188862079332e-01,8.677335772589e+00
13.0995130339,-2.140942089892e-01,2.140942089892e-01,5.825800213834e+00
13.2653296546,-1.162061721928e-01,1.162061721928e-01,3.162131035706e+00
13.4311462752,-4.047029146400e-02,4.047029146400e-02,1.101252732515e+00
13.5969628959,1.317531734200e-02,-1.317531734200e-02,-3.585186491066e-01
13.7627795166,4.914980176220e-02,-4.914980176220e-02,-1.337434239665e+00
13.9285961373,7.134408082800e-02,-7.134408082800e-02,-1.941371339776e+00
14.0944127580,8.173807278640e-02,-8.173807278640e-02,-2.224206269593e+00
14.2602293787,8.045997451200e-02,-8.045997451200e-02,-2.189427443788e+00
14.4260459993,6.606823045600e-02,-6.606823045600e-02,-1.797808137527e+00
14.5918626200,3.582594644800e-02,-3.582594644800e-02,-9.748736664246e-01
14.7576792407,-1.356776225200e-02,1.356776225200e-02,3.691976191329e-01
14.9234958614,-8.388601808040e-02,8.388601808040e-02,2.282654838624e+00
15.0893124821,-1.714126321940e-01,1.714126321940e-01,4.664375342072e+00
15.2551291027,-2.630400283192e-01,2.630400283192e-01,7.157683808749e+00
15.4209457234,-3.378082411190e-01,3.378082411190e-01,9.192230526168e+00
15.5867623441,-3.778068876836e-01,3.778068876836e-01,1.028064914715e+01
15.7525789648,-3.822289003040e-01,3.822289003040e-01,1.040097824055e+01
