z_angstrom,conventional_electrostatic_potential_ev,electron_density_au
0.0000000000,3.483505447750e+00,1.235685738400e-17
0.1658166207,3.357363039521e+00,2.019028824562e-09
0.3316332414,2.864099302210e+00,-1.982980303297e-09
0.4974498620,1.925683212924e+00,5.762731555536e-11
0.6632664827,4.712453937850e-01,1.769926182544e-09
0.8290831034,-1.480202190941e+00,-1.737430294980e-09
0.9948997241,-3.695389519047e+00,2.582473536166e-11
1.1607163448,-5.657931839019e+00,1.557556874894e-09
1.3265329655,-6.712814207045e+00,-1.467890232818e-09
1.4923495861,-6.434704478894e+00,-1.010282799388e-10
1.6581662068,-4.930688275933e+00,1.525520500123e-09
1.8239828275,-2.764396565314e+00,-1.396931946726e-09
1.9897994482,-5.817498754892e-01,-9.301095716960e-11
2.1556160689,1.199236225075e+00,1.497054515723e-09
2.3214326895,2.442330227779e+00,-1.353799043204e-09
2.4872493102,3.182468711694e+00,3.449660426000e-10
2.6530659309,3.505171697706e+00,1.744842877960e-09
2.8188825516,3.479457590777e+00,5.067010033320e-10
2.9846991723,3.133445440152e+00,4.765197632000e-09
3.1505157930,2.450518601936e+00,1.244308308400e-08
3.3163324136,1.391247146155e+00,2.845530936880e-08
3.4821490343,-1.831761553070e-02,7.026768400000e-08
3.6479656550,-1.585784176411e+00,1.650163132000e-07
3.8137822757,-3.111959438418e+00,3.702985324000e-07
3.9795988964,-4.182979682326e+00,8.096892400000e-07
4.1454155171,-4.306234309400e+00,1.712629468000e-06
4.3112321377,-4.092027256481e+00,3.496527280000e-06
4.4770487584,-4.030142904190e+00,6.910771200000e-06
4.6428653791,-4.241876877481e+00,1.320331240000e-05
4.8086819998,-4.634174725346e+00,2.438051296000e-05
4.9744986205,-4.817929733607e+00,4.351804160000e-05
5.1403152411,-4.434307746442e+00,7.505449800000e-05
5.3061318618,-3.442936862760e+00,1.250552372000e-04
5.4719484825,-2.114367748842e+00,2.012464928000e-04
5.6377651032,-8.048126019476e-01,3.126929316000e-04
5.8035817239,2.462422654705e-01,4.689373560000e-04
5.9693983446,9.631362186987e-01,6.784576000000e-04
6.1352149652,1.374023971344e+00,9.464973040000e-04
6.3010315859,1.538639459246e+00,1.272492724000e-03
6.4668482066,1.506181140850e+00,1.647750172000e-03
6.6326648273,1.299146247427e+00,2.054300840000e-03
6.7984814480,9.091080581109e-01,2.466084192000e-03
6.9642980686,2.997156719343e-01,2.853674480000e-03
7.1301146893,-5.746637910506e-01,3.193534720000e-03
7.2959313100,-1.718809084371e+00,3.483346136000e-03
7.4617479307,-3.017305578318e+00,3.766274876000e-03
7.6275645514,-4.185502765596e+00,4.169369216000e-03
7.7933811721,-4.850570149783e+00,4.965558592000e-03
7.9591977927,-4.771330547048e+00,6.697853144000e-03
8.1250144134,-4.013464969368e+00,1.049411046000e-02
8.2908310341,-2.864191689221e+00,1.869120103600e-02
8.4566476548,-1.521728817111e+00,3.484248432400e-02
8.6224642755,3.726986292300e-02,5.712007843200e-02
8.7882808961,1.633365623265e+00,6.988442297200e-02
8.9540975168,2.992563656939e+00,7.202126877600e-02
9.1199141375,3.666388028492e+00,7.258475560000e-02
9.2857307582,3.261859273242e+00,6.860084318000e-02
9.4515473789,2.469085853129e+00,5.049437508800e-02
9.6173639996,1.773096995709e+00,3.002405860000e-02
9.7831806202,1.205632197411e+00,1.788023435600e-02
9.9489972409,7.374578785008e-01,1.216941356000e-02
10.1148138616,3.595672754246e-01,9.860493772000e-03
10.2806304823,9.007892967868e-02,9.472870920000e-03
10.4464471030,-2.304710241870e-02,1.047065120000e-02
10.6122637237,9.738768484745e-02,1.268222996000e-02
10.7780803443,5.565853584519e-01,1.592646496000e-02
10.9438969650,1.478505760043e+00,1.968939796000e-02
11.1097135857,2.968117278589e+00,2.308234608000e-02
11.2755302064,5.023021610905e+00,2.545914996000e-02
11.4413468271,7.412977646866e+00,2.715889700000e-02
11.6071634477,9.638605957490e+00,2.924443605200e-02
11.7729800684,1.112086315025e+01,3.276764897600e-02
11.9387966891,1.159117038830e+01,3.914511549600e-02
12.1046133098,1.134874954217e+01,5.120336624000e-02
12.2704299305,1.106493713316e+01,7.125195192000e-02
12.4362465512,1.120967458771e+01,8.996921404000e-02
12.6020631718,1.144625262930e+01,9.266060840000e-02
12.7678797925,1.076380817798e+01,8.876366416000e-02
12.9336964132,8.677335772589e+00,8.421614472000e-02
13.0995130339,5.825800213834e+00,7.029403360000e-02
13.2653296546,3.162131035706e+00,4.545230796000e-02
13.4311462752,1.101252732515e+00,2.621527716000e-02
13.5969628959,-3.585186491066e-01,1.603581428000e-02
13.7627795166,-1.337434239665e+00,1.131152868000e-02
13.9285961373,-1.941371339776e+00,9.470993800000e-03
14.0944127580,-2.224206269593e+00,9.358418440000e-03
14.2602293787,-2.189427443788e+00,1.054612800000e-02
14.4260459993,-1.797808137527e+00,1.286807688000e-02
14.5918626200,-9.748736664246e-01,1.606852508000e-02
14.7576792407,3.691976191329e-01,1.953677524000e-02
14.9234958614,2.282654838624e+00,2.247611112000e-02
15.0893124821,4.664375342072e+00,2.462472076000e-02
15.2551291027,7.157683808749e+00,2.664384004000e-02
15.4209457234,9.192230526168e+00,2.954921226000e-02
15.5867623441,1.028064914715e+01,3.438111294400e-02
15.7525789648,1.040097824055e+01,4.306390275600e-02
15.9183955855,1.007435006014e+01,5.884552284000e-02
16.0842122062,9.970850036052e+00,8.065345912000e-02
16.2500288268,1.026614199405e+01,9.285466452000e-02
16.4158454475,1.023103098694e+01,9.090203512000e-02
16.5816620682,8.925945389178e+00,8.685393236000e-02
16.7474786889,6.375384909363e+00,7.999242268000e-02
16.9132953096,3.507441524170e+00,5.961832132000e-02
17.0791119302,1.080449605111e+00,3.567382064000e-02
17.2449285509,-7.187838791078e-01,2.070040120000e-02
17.4107451716,-1.970837740675e+00,1.329437740000e-02
17.5765617923,-2.800400319443e+00,9.996264160000e-03
17.7423784130,-3.293585620041e+00,8.931223120000e-03
17.9081950337,-3.483506445101e+00,9.321590680000e-03
18.0740116543,-3.357359994524e+00,1.088248152000e-02
18.2398282750,-2.864099486976e+00,1.342829124000e-02
18.4056448957,-1.925685861285e+00,1.652639408000e-02
18.5714615164,-4.712435330705e-01,1.934146012000e-02
18.7372781371,1.480203787596e+00,2.106856524000e-02
