 # DOS at iteration step i = 0, E_Fermi[a.u.] =    -0.003009
 #  Energy[a.u.]       Density     Occupation
    -0.50805630         0.0016         2.0000
    -0.50621883         0.0000         0.0000
    -0.50438136         0.0000         0.0000
    -0.50254389         0.0000         0.0000
    -0.50070642         0.0033         4.0000
    -0.49886895         0.0000         0.0000
    -0.49703148         0.0000         0.0000
    -0.49519401         0.0000         0.0000
    -0.49335654         0.0000         0.0000
    -0.49151907         0.0000         0.0000
    -0.48968160         0.0016         2.0000
    -0.48784413         0.0000         0.0000
    -0.48600666         0.0016         2.0000
    -0.48416919         0.0000         0.0000
    -0.48233172         0.0000         0.0000
    -0.48049425         0.0098        12.0000
    -0.47865678         0.0000         0.0000
    -0.47681931         0.0000         0.0000
    -0.47498184         0.0098        12.0000
    -0.47314437         0.0000         0.0000
    -0.47130690         0.0000         0.0000
    -0.46946943         0.0000         0.0000
    -0.46763196         0.0000         0.0000
    -0.46579449         0.0000         0.0000
    -0.46395702         0.0016         2.0000
    -0.46211955         0.0000         0.0000
    -0.46028208         0.0000         0.0000
    -0.45844461         0.0033         4.0000
    -0.45660714         0.0000         0.0000
    -0.45476967         0.0000         0.0000
    -0.45293220         0.0000         0.0000
    -0.45109473         0.0033         4.0000
    -0.44925726         0.0000         0.0000
    -0.44741979         0.0000         0.0000
    -0.44558232         0.0000         0.0000
    -0.44374485         0.0000         0.0000
    -0.44190738         0.0000         0.0000
    -0.44006991         0.0049         6.0000
    -0.43823244         0.0000         0.0000
    -0.43639497         0.0049         6.0000
    -0.43455750         0.0049         6.0000
    -0.43272003         0.0016         2.0000
    -0.43088256         0.0049         6.0000
    -0.42904509         0.0049         6.0000
    -0.42720762         0.0000         0.0000
    -0.42537015         0.0000         0.0000
    -0.42353268         0.0000         0.0000
    -0.42169521         0.0000         0.0000
    -0.41985774         0.0000         0.0000
    -0.41802027         0.0000         0.0000
    -0.41618280         0.0000         0.0000
    -0.41434533         0.0000         0.0000
    -0.41250786         0.0000         0.0000
    -0.41067039         0.0000         0.0000
    -0.40883292         0.0000         0.0000
    -0.40699545         0.0000         0.0000
    -0.40515798         0.0000         0.0000
    -0.40332051         0.0000         0.0000
    -0.40148304         0.0000         0.0000
    -0.39964557         0.0000         0.0000
    -0.39780810         0.0000         0.0000
    -0.39597063         0.0016         2.0000
    -0.39413316         0.0000         0.0000
    -0.39229569         0.0000         0.0000
    -0.39045822         0.0033         4.0000
    -0.38862075         0.0000         0.0000
    -0.38678328         0.0000         0.0000
    -0.38494581         0.0016         2.0000
    -0.38310834         0.0016         2.0000
    -0.38127087         0.0016         2.0000
    -0.37943340         0.0016         2.0000
    -0.37759593         0.0016         2.0000
    -0.37575846         0.0033         4.0000
    -0.37392099         0.0000         0.0000
    -0.37208352         0.0016         2.0000
    -0.37024605         0.0049         6.0000
    -0.36840858         0.0146        18.0000
    -0.36657111         0.0179        22.0000
    -0.36473364         0.0114        14.0000
    -0.36289617         0.0163        20.0000
    -0.36105870         0.0309        38.0000
    -0.35922123         0.0098        12.0000
    -0.35738376         0.0000         0.0000
    -0.35554629         0.0000         0.0000
    -0.35370882         0.0049         6.0000
    -0.35187135         0.0049         6.0000
    -0.35003388         0.0000         0.0000
    -0.34819641         0.0000         0.0000
    -0.34635894         0.0000         0.0000
    -0.34452147         0.0000         0.0000
    -0.34268400         0.0000         0.0000
    -0.34084653         0.0000         0.0000
    -0.33900906         0.0000         0.0000
    -0.33717159         0.0000         0.0000
    -0.33533412         0.0033         4.0000
    -0.33349665         0.0033         4.0000
    -0.33165918         0.0081        10.0000
    -0.32982171         0.0081        10.0000
    -0.32798424         0.0098        12.0000
    -0.32614677         0.0114        14.0000
    -0.32430930         0.0098        12.0000
    -0.32247183         0.0065         8.0000
    -0.32063436         0.0081        10.0000
    -0.31879689         0.0130        16.0000
    -0.31695942         0.0049         6.0000
    -0.31512195         0.0016         2.0000
    -0.31328448         0.0049         6.0000
    -0.31144701         0.0049         6.0000
    -0.30960954         0.0033         4.0000
    -0.30777207         0.0049         6.0000
    -0.30593460         0.0000         0.0000
    -0.30409713         0.0000         0.0000
    -0.30225966         0.0000         0.0000
