z_angstrom,cp2k_v_hartree_raw_hartree,conventional_electrostatic_potential_hartree,conventional_electrostatic_potential_ev
0.0000000000,2.600909489796e-01,-2.600909489796e-01,-7.077435271769e+00
0.1610445006,2.487448571429e-01,-2.487448571429e-01,-6.768692384417e+00
0.3220890012,2.135552857143e-01,-2.135552857143e-01,-5.811135364444e+00
0.4831335018,1.522291836735e-01,-1.522291836735e-01,-4.142367114850e+00
0.6441780024,6.622833673469e-02,-6.622833673469e-02,-1.802164851317e+00
0.8052225030,-3.289080102041e-02,3.289080102041e-02,8.950042905063e-01
0.9662670036,-1.314320193878e-01,1.314320193878e-01,3.576447444650e+00
1.1273115042,-2.085561005102e-01,2.085561005102e-01,5.675100604940e+00
1.2883560048,-2.272386505102e-01,2.272386505102e-01,6.183478689050e+00
1.4494005053,-2.153973163265e-01,2.153973163265e-01,5.861259570910e+00
1.6104450059,-2.133325632653e-01,2.133325632653e-01,5.805074777859e+00
1.7714895065,-2.308095429592e-01,2.308095429592e-01,6.280647622722e+00
1.9325340071,-2.644157464286e-01,2.644157464286e-01,7.195119005589e+00
2.0935785077,-2.885735938776e-01,2.885735938776e-01,7.852487523395e+00
2.2546230083,-2.723012500000e-01,2.723012500000e-01,7.409694489015e+00
2.4156675089,-2.033469948980e-01,2.033469948980e-01,5.533353620129e+00
2.5767120095,-9.569609183673e-02,9.569609183673e-02,2.604023317201e+00
2.7377565101,2.280911734694e-02,-2.280911734694e-02,-6.206677020576e-01
2.8988010107,1.281833010204e-01,-1.281833010204e-01,-3.488045314352e+00
3.0598455113,2.089511785714e-01,-2.089511785714e-01,-5.685851226662e+00
3.2208900119,2.641534271939e-01,-2.641534271939e-01,-7.187980935574e+00
3.3819345125,2.975179285714e-01,-2.975179285714e-01,-8.095875269463e+00
3.5429790131,3.130528826531e-01,-3.130528826531e-01,-8.518602905292e+00
3.7040235137,3.130528826531e-01,-3.130528826531e-01,-8.518602905292e+00
3.8650680143,2.975179285714e-01,-2.975179285714e-01,-8.095875269463e+00
4.0261125149,2.641534272959e-01,-2.641534272959e-01,-7.187980938351e+00
4.1871570154,2.089511785714e-01,-2.089511785714e-01,-5.685851226662e+00
4.3482015160,1.281833010204e-01,-1.281833010204e-01,-3.488045314352e+00
4.5092460166,2.280911734694e-02,-2.280911734694e-02,-6.206677020576e-01
4.6702905172,-9.569609183673e-02,9.569609183673e-02,2.604023317201e+00
4.8313350178,-2.033469948980e-01,2.033469948980e-01,5.533353620129e+00
4.9923795184,-2.723012500000e-01,2.723012500000e-01,7.409694489015e+00
5.1534240190,-2.885735938776e-01,2.885735938776e-01,7.852487523395e+00
5.3144685196,-2.644157464286e-01,2.644157464286e-01,7.195119005589e+00
5.4755130202,-2.308095429592e-01,2.308095429592e-01,6.280647622722e+00
5.6365575208,-2.133325632653e-01,2.133325632653e-01,5.805074777859e+00
5.7976020214,-2.153973214286e-01,2.153973214286e-01,5.861259709744e+00
5.9586465220,-2.272386500000e-01,2.272386500000e-01,6.183478675167e+00
6.1196910226,-2.085561005102e-01,2.085561005102e-01,5.675100604940e+00
6.2807355232,-1.314320193878e-01,1.314320193878e-01,3.576447444650e+00
6.4417800238,-3.289080102041e-02,3.289080102041e-02,8.950042905063e-01
6.6028245244,6.622833673469e-02,-6.622833673469e-02,-1.802164851317e+00
6.7638690250,1.522291836735e-01,-1.522291836735e-01,-4.142367114850e+00
6.9249135255,2.135552857143e-01,-2.135552857143e-01,-5.811135364444e+00
7.0859580261,2.487448571429e-01,-2.487448571429e-01,-6.768692384417e+00
