 # DOS at iteration step i = 0
 #  Energy[a.u.]       Density     Occupation
    -0.25111753         0.0147         2.0000
    -0.24928006         0.0000         0.0000
    -0.24744259         0.0000         0.0000
    -0.24560512         0.0000         0.0000
    -0.24376765         0.0000         0.0000
    -0.24193018         0.0000         0.0000
    -0.24009271         0.0000         0.0000
    -0.23825524         0.0000         0.0000
    -0.23641777         0.0000         0.0000
    -0.23458030         0.0000         0.0000
    -0.23274283         0.0000         0.0000
    -0.23090536         0.0000         0.0000
    -0.22906789         0.0000         0.0000
    -0.22723042         0.0000         0.0000
    -0.22539295         0.0000         0.0000
    -0.22355548         0.0000         0.0000
    -0.22171801         0.0000         0.0000
    -0.21988054         0.0000         0.0000
    -0.21804307         0.0000         0.0000
    -0.21620560         0.0000         0.0000
    -0.21436813         0.0000         0.0000
    -0.21253066         0.0000         0.0000
    -0.21069319         0.0000         0.0000
    -0.20885572         0.0000         0.0000
    -0.20701825         0.0000         0.0000
    -0.20518078         0.0000         0.0000
    -0.20334331         0.0147         2.0000
    -0.20150584         0.0000         0.0000
    -0.19966837         0.0000         0.0000
    -0.19783090         0.0000         0.0000
    -0.19599343         0.0000         0.0000
    -0.19415596         0.0000         0.0000
    -0.19231849         0.0000         0.0000
    -0.19048102         0.0000         0.0000
    -0.18864355         0.0000         0.0000
    -0.18680608         0.0000         0.0000
    -0.18496861         0.0000         0.0000
    -0.18313114         0.0000         0.0000
    -0.18129367         0.0000         0.0000
    -0.17945620         0.0000         0.0000
    -0.17761873         0.0000         0.0000
    -0.17578126         0.0000         0.0000
    -0.17394379         0.0000         0.0000
    -0.17210632         0.0000         0.0000
    -0.17026885         0.0000         0.0000
    -0.16843138         0.0000         0.0000
    -0.16659391         0.0000         0.0000
    -0.16475644         0.0000         0.0000
    -0.16291897         0.0000         0.0000
    -0.16108150         0.0000         0.0000
    -0.15924403         0.0000         0.0000
    -0.15740656         0.0000         0.0000
    -0.15556909         0.0000         0.0000
    -0.15373162         0.0000         0.0000
    -0.15189415         0.0000         0.0000
    -0.15005668         0.0000         0.0000
    -0.14821921         0.0000         0.0000
    -0.14638174         0.0000         0.0000
    -0.14454427         0.0000         0.0000
    -0.14270680         0.0000         0.0000
    -0.14086933         0.0000         0.0000
    -0.13903186         0.0000         0.0000
    -0.13719439         0.0000         0.0000
    -0.13535692         0.0000         0.0000
    -0.13351945         0.0000         0.0000
    -0.13168198         0.0000         0.0000
    -0.12984451         0.0000         0.0000
    -0.12800704         0.0000         0.0000
    -0.12616957         0.0000         0.0000
    -0.12433210         0.0000         0.0000
    -0.12249463         0.0000         0.0000
    -0.12065716         0.0000         0.0000
    -0.11881969         0.0000         0.0000
    -0.11698222         0.0000         0.0000
    -0.11514475         0.0000         0.0000
    -0.11330728         0.0000         0.0000
    -0.11146981         0.0000         0.0000
    -0.10963234         0.0000         0.0000
    -0.10779487         0.0000         0.0000
    -0.10595740         0.0000         0.0000
    -0.10411993         0.0000         0.0000
    -0.10228246         0.0000         0.0000
    -0.10044499         0.0000         0.0000
    -0.09860752         0.0000         0.0000
    -0.09677005         0.0000         0.0000
    -0.09493258         0.0000         0.0000
    -0.09309511         0.0000         0.0000
    -0.09125764         0.0000         0.0000
    -0.08942017         0.0000         0.0000
    -0.08758270         0.0000         0.0000
    -0.08574523         0.0000         0.0000
    -0.08390776         0.0000         0.0000
    -0.08207029         0.0000         0.0000
    -0.08023282         0.0000         0.0000
    -0.07839535         0.0000         0.0000
    -0.07655788         0.0000         0.0000
    -0.07472041         0.0000         0.0000
    -0.07288294         0.0000         0.0000
    -0.07104547         0.0000         0.0000
    -0.06920800         0.0000         0.0000
    -0.06737053         0.0000         0.0000
    -0.06553306         0.0000         0.0000
    -0.06369559         0.0000         0.0000
    -0.06185812         0.0000         0.0000
    -0.06002065         0.0000         0.0000
    -0.05818318         0.0000         0.0000
    -0.05634571         0.0000         0.0000
    -0.05450824         0.0000         0.0000
    -0.05267077         0.0000         0.0000
    -0.05083330         0.0000         0.0000
    -0.04899583         0.0000         0.0000
    -0.04715836         0.0000         0.0000
    -0.04532089         0.0000         0.0000
    -0.04348342         0.0000         0.0000
    -0.04164595         0.0000         0.0000
    -0.03980848         0.0000         0.0000
    -0.03797101         0.0000         0.0000
    -0.03613354         0.0147         2.0000
    -0.03429607         0.0000         0.0000
    -0.03245860         0.0000         0.0000
    -0.03062113         0.0000         0.0000
    -0.02878366         0.0000         0.0000
    -0.02694619         0.0000         0.0000
    -0.02510872         0.0000         0.0000
    -0.02327125         0.0000         0.0000
    -0.02143378         0.0000         0.0000
    -0.01959631         0.0000         0.0000
    -0.01775884         0.0000         0.0000
    -0.01592137         0.0000         0.0000
    -0.01408390         0.0000         0.0000
    -0.01224643         0.0000         0.0000
    -0.01040896         0.0000         0.0000
    -0.00857149         0.0000         0.0000
    -0.00673402         0.0000         0.0000
    -0.00489655         0.0000         0.0000
    -0.00305908         0.0000         0.0000
    -0.00122161         0.0000         0.0000
     0.00061586         0.0000         0.0000
     0.00245333         0.0000         0.0000
     0.00429080         0.0000         0.0000
     0.00612827         0.0000         0.0000
     0.00796574         0.0000         0.0000
     0.00980321         0.0000         0.0000
     0.01164068         0.0000         0.0000
     0.01347815         0.0000         0.0000
     0.01531562         0.0000         0.0000
     0.01715309         0.0000         0.0000
     0.01899056         0.0000         0.0000
     0.02082803         0.0000         0.0000
     0.02266550         0.0000         0.0000
     0.02450297         0.0000         0.0000
     0.02634044         0.0000         0.0000
     0.02817791         0.0000         0.0000
     0.03001538         0.0000         0.0000
     0.03185285         0.0000         0.0000
     0.03369032         0.0000         0.0000
     0.03552779         0.0294         4.0000
     0.03736526         0.0000         0.0000
     0.03920273         0.0000         0.0000
     0.04104020         0.0000         0.0000
     0.04287767         0.0000         0.0000
     0.04471514         0.0000         0.0000
     0.04655261         0.0000         0.0000
     0.04839008         0.0294         4.0000
     0.05022755         0.0000         0.0000
     0.05206502         0.0000         0.0000
     0.05390249         0.0147         2.0000
     0.05573996         0.0000         0.0000
     0.05757743         0.0294         4.0000
     0.05941490         0.0000         0.0000
     0.06125237         0.0000         0.0000
     0.06308984         0.0000         0.0000
     0.06492731         0.0000         0.0000
     0.06676478         0.0000         0.0000
     0.06860225         0.0294         4.0000
     0.07043972         0.0000         0.0000
     0.07227719         0.0294         4.0000
     0.07411466         0.0000         0.0000
     0.07595213         0.0147         2.0000
     0.07778960         0.0147         2.0000
     0.07962707         0.0000         0.0000
     0.08146454         0.0000         0.0000
     0.08330201         0.0000         0.0000
     0.08513948         0.0000         0.0000
     0.08697695         0.0000         0.0000
     0.08881442         0.0294         4.0000
     0.09065189         0.0000         0.0000
     0.09248936         0.0294         4.0000
     0.09432683         0.0000         0.0000
     0.09616430         0.0000         0.0000
     0.09800177         0.0000         0.0000
     0.09983924         0.0000         0.0000
     0.10167671         0.0000         0.0000
     0.10351418         0.0000         0.0000
     0.10535165         0.0000         0.0000
     0.10718912         0.0000         0.0000
     0.10902659         0.0000         0.0000
     0.11086406         0.0000         0.0000
     0.11270153         0.0000         0.0000
     0.11453900         0.0294         4.0000
     0.11637647         0.0000         0.0000
     0.11821394         0.0000         0.0000
     0.12005141         0.0000         0.0000
     0.12188888         0.0000         0.0000
     0.12372635         0.0000         0.0000
     0.12556382         0.0000         0.0000
     0.12740129         0.0000         0.0000
     0.12923876         0.0000         0.0000
     0.13107623         0.0147         2.0000
     0.13291370         0.0000         0.0000
     0.13475117         0.0000         0.0000
     0.13658864         0.0000         0.0000
     0.13842611         0.0000         0.0000
     0.14026358         0.0000         0.0000
     0.14210105         0.0000         0.0000
     0.14393852         0.0000         0.0000
     0.14577599         0.0000         0.0000
     0.14761346         0.0000         0.0000
     0.14945093         0.0000         0.0000
     0.15128840         0.0000         0.0000
     0.15312587         0.0000         0.0000
     0.15496334         0.0000         0.0000
     0.15680081         0.0000         0.0000
     0.15863828         0.0000         0.0000
     0.16047575         0.0000         0.0000
     0.16231322         0.0000         0.0000
     0.16415069         0.0000         0.0000
     0.16598816         0.0000         0.0000
     0.16782563         0.0000         0.0000
     0.16966310         0.0000         0.0000
     0.17150057         0.0000         0.0000
     0.17333804         0.0000         0.0000
     0.17517551         0.0000         0.0000
     0.17701298         0.0000         0.0000
     0.17885045         0.0000         0.0000
     0.18068792         0.0000         0.0000
     0.18252539         0.0000         0.0000
     0.18436286         0.0000         0.0000
     0.18620033         0.0000         0.0000
     0.18803780         0.0000         0.0000
     0.18987527         0.0000         0.0000
     0.19171274         0.0000         0.0000
